epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,3945.17,1.01728,0.62798,0.01457,0.7869,0.60871,0.69587,0.51988,1.06679,1.17113,0.01114,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
53,4008.36,0.9934,0.61827,0.01374,0.73604,0.62437,0.713,0.53645,1.08277,1.13558,0.01132,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332,0.0220299,0.00734332
54,4071.64,1.00346,0.60314,0.01422,0.74488,0.61555,0.71604,0.54083,1.0741,1.27195,0.01158,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094,0.0217528,0.00725094
55,4136.04,0.98842,0.57437,0.01406,0.78328,0.62947,0.7626,0.56475,1.11975,1.21372,0.01162,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
56,4199.35,1.00182,0.59567,0.01407,0.7929,0.62562,0.75027,0.55562,1.08593,1.05603,0.01102,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
57,4266.07,0.98272,0.58894,0.01394,0.80236,0.61369,0.72049,0.5542,1.09545,1.20645,0.01164,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682,0.0209046,0.0069682
58,4331.58,0.98599,0.58072,0.01365,0.77134,0.60445,0.69852,0.5156,1.13495,1.21497,0.01198,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
59,4395.79,0.98062,0.59796,0.01349,0.75435,0.61408,0.70522,0.53346,1.12792,1.23922,0.01141,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543,0.0203263,0.00677543
60,4459.14,0.97859,0.59884,0.01365,0.7665,0.60786,0.75689,0.5616,1.1268,1.14432,0.01177,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789,0.0200337,0.00667789
61,4521.91,0.96455,0.58306,0.0136,0.75858,0.62052,0.72574,0.53818,1.09662,1.13295,0.0114,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
62,4585.1,0.94816,0.57959,0.01296,0.69408,0.65456,0.73861,0.55699,1.11211,1.14639,0.01153,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071,0.0194421,0.00648071
63,4649.29,0.96762,0.55681,0.0139,0.87331,0.59634,0.74061,0.55581,1.10081,1.14428,0.01129,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115,0.0191435,0.00638115
64,4711.23,0.94652,0.5348,0.01321,0.75593,0.65813,0.72411,0.54324,1.07875,1.11964,0.01152,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
65,4773.47,0.94404,0.56831,0.01327,0.74088,0.62659,0.7099,0.5408,1.06617,1.35222,0.01095,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034,0.018541,0.00618034
66,4830.44,0.93319,0.53295,0.01285,0.75303,0.6419,0.74786,0.57163,1.06009,1.10971,0.01075,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916,0.0182375,0.00607916
67,5921.82,0.92798,0.53541,0.0126,0.74918,0.6577,0.72792,0.54127,1.05898,1.20514,0.01043,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
