epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,1306.21,0.9062,0.57378,0.01064,0.94061,0.90394,0.9601,0.78469,0.761,0.42886,0.01204,0.000605339,0.000605339,0.000605339
79,1322.91,0.90931,0.57264,0.01086,0.88719,0.92571,0.94434,0.77431,0.75174,0.44544,0.01151,0.000592398,0.000592398,0.000592398
80,1339.92,0.89604,0.55681,0.01033,0.93471,0.92703,0.96409,0.77812,0.7878,0.40048,0.01248,0.000579474,0.000579474,0.000579474
81,1356.77,0.88605,0.5501,0.01014,0.932,0.91936,0.95767,0.78081,0.77056,0.42756,0.01193,0.000566573,0.000566573,0.000566573
82,1373.6,0.90151,0.54085,0.01037,0.92906,0.92324,0.96001,0.7801,0.75814,0.39778,0.01186,0.0005537,0.0005537,0.0005537
83,1390.51,0.88347,0.53044,0.01028,0.91937,0.92758,0.95731,0.77367,0.76424,0.43936,0.01228,0.000540861,0.000540861,0.000540861
84,1407.22,0.86788,0.52616,0.01047,0.95344,0.90899,0.96406,0.79722,0.74154,0.407,0.01128,0.000528062,0.000528062,0.000528062
85,1423.77,0.88548,0.52792,0.01025,0.94266,0.89958,0.96168,0.78661,0.75921,0.4058,0.01192,0.000515308,0.000515308,0.000515308
86,1440.45,0.87484,0.5303,0.00997,0.91455,0.91952,0.96169,0.78613,0.76399,0.42745,0.01161,0.000502605,0.000502605,0.000502605
87,1456.98,0.87638,0.54222,0.01024,0.91962,0.9249,0.95599,0.77707,0.75771,0.43434,0.0118,0.000489958,0.000489958,0.000489958
88,1473.56,0.89811,0.53741,0.01037,0.94332,0.91566,0.95569,0.78288,0.75474,0.44023,0.01158,0.000477373,0.000477373,0.000477373
89,1490.15,0.86628,0.53324,0.00988,0.91659,0.90999,0.95331,0.78195,0.75871,0.43772,0.01189,0.000464856,0.000464856,0.000464856
90,1506.81,0.84937,0.49298,0.00982,0.94218,0.93209,0.96637,0.79948,0.74079,0.38746,0.01133,0.000452412,0.000452412,0.000452412
91,1523.64,0.86425,0.52706,0.00972,0.93177,0.9168,0.94352,0.77435,0.75679,0.44738,0.01164,0.000440046,0.000440046,0.000440046
92,1540.38,0.84312,0.4793,0.00975,0.93736,0.92135,0.9556,0.78793,0.74259,0.4054,0.0112,0.000427764,0.000427764,0.000427764
93,1557.1,0.82874,0.49804,0.00957,0.94735,0.90135,0.95384,0.7923,0.7594,0.42661,0.01162,0.000415571,0.000415571,0.000415571
94,1573.82,0.83077,0.47263,0.00938,0.95461,0.91712,0.96121,0.79869,0.74019,0.3944,0.01141,0.000403473,0.000403473,0.000403473
95,1590.57,0.83809,0.50428,0.0098,0.93795,0.92469,0.96358,0.79058,0.74607,0.42075,0.01133,0.000391475,0.000391475,0.000391475
96,1607.29,0.8462,0.49374,0.00986,0.94722,0.9005,0.95374,0.79655,0.75523,0.42857,0.01133,0.000379582,0.000379582,0.000379582
97,1624.02,0.84772,0.48677,0.00974,0.93105,0.92329,0.96131,0.80384,0.7443,0.40345,0.01142,0.000367799,0.000367799,0.000367799
98,1640.72,0.84473,0.49301,0.00976,0.93814,0.92036,0.9611,0.79162,0.74708,0.3986,0.01153,0.000356132,0.000356132,0.000356132
99,1657.52,0.83008,0.47931,0.00958,0.92562,0.93455,0.96581,0.79257,0.76303,0.38036,0.01178,0.000344586,0.000344586,0.000344586
100,1674.33,0.82898,0.47298,0.00934,0.93939,0.92328,0.96366,0.80284,0.73439,0.39797,0.01113,0.000333165,0.000333165,0.000333165
101,1690.97,0.82239,0.48328,0.0091,0.93767,0.94043,0.96444,0.80489,0.72331,0.38865,0.01089,0.000321875,0.000321875,0.000321875
102,1707.6,0.82204,0.46662,0.00954,0.92668,0.92794,0.94663,0.79616,0.73465,0.43133,0.01095,0.000310721,0.000310721,0.000310721
103,1724.28,0.80652,0.46287,0.00941,0.94644,0.9287,0.96323,0.80533,0.73834,0.39152,0.01148,0.000299707,0.000299707,0.000299707
104,1740.98,0.82929,0.47638,0.00932,0.9145,0.91845,0.95393,0.79678,0.74455,0.43535,0.01145,0.000288839,0.000288839,0.000288839
